DOC no,Dispatch,Article,Quantity,Available,RTS date,CDD,
223919,CD45MBE,DINFDERI5FBF5,10000,24520,15-06-2026,,
223919,CD45MBE,DINFRINL1FBF1,10008,34788,15-06-2026,,
223919,CD45MBE,DINJARTS6V-,5000,6984,15-06-2026,,
223919,CD45MBE,DORAORSA2S-,20000,313800,15-06-2026,,
223919,CD45MBE,DORAPARA5T-,131000,2868000,15-06-2026,,
223919,CD45MBE,NFOSRUTFPEP92,10050,50700,15-06-2026,,
223919,CD45MBE,SCTDBAGU2VSS,150,5655,15-06-2026,,
223919,CD45MBE,SDDCBAGP06P1,37400,1442500,15-06-2026,,
223919,CD45MBE,SINSNEED19-,50000,471700,15-06-2026,,
223919,CD45MBE,SINSSETI2--,10000,69675,15-06-2026,,
223919,CD45MBE,SINSSETP150,500,58850,15-06-2026,,
223919,CD45MBE,SINSSYDL05-,30000,434300,15-06-2026,,
223919,CD45MBE,SINSSYDL10-,30000,636200,15-06-2026,,
223919,CD45MBE,SINSSYDL20-,15000,56300,15-06-2026,,
223919,CD45MBE,SMSUGLOS70-,2500,34850,15-06-2026,,
223919,CD45MBE,SMSUGLOS75-,4000,71800,15-06-2026,,
223919,CD45MBE,SMSUGLOS80-,7500,17850,15-06-2026,,
223919,CD45MBE,SMSUGLOS85-,5000,10000,15-06-2026,,
