Code,Description,Rmks Products,WMS Print name,Box per Pal,Qty/Pal,Qty per Box,Pack Size Mini,Box Name,Weight per Box,Length,Width,Height,Vol (dm3),Pal Height,Free (in case of),L: #Box mini,Quantity Loose Mini,L: # box to replenish,Quantity Loose to Rep.,GF: #Pal mini,Quantity GF Mini,GF: # Pal to replenish,Quantity GF to Rep.,Item Type,Path
CSHEPLASWR4,"PLASTIC SHEETING, 4x60m, white/white, 6 bands, roll",,Plas. Sheet -  4x60 roll,1,1,1,1,Plas. Roll,48,55,23,77,97.41,NA,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CSHEPLASWS4,"PLASTIC SHEETING, 4x6m, white/white, 6 bands, sheet",,Plas. Sheet - 4x6 sheet,1,5,5,1,Plas. Sheet,25,43,65,17,47.52,NA,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CSHETENM45-,"TENT multipurpose, 45m², 6x7.5m + bag ",,Tent 45m2,1,1,1,1,Tent,190,210,90,33,623.70,NA,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CSHETENM45G,"(multipurpose tent 45m²) GROUNDSHEET, PVC",,(Tent 45m2) Ground,1,1,1,1,T-Ground,33,170,25,18,76.50,NA,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CSHETENM45I,"(multipurpose tent 45m²) INNER TENT, cotton + groundsheet",,(Tent 45m2) Inner,1,1,1,1,T-Inner,49,200,30,30,180.00,NA,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CSHETENM45N,(multipurpose tent 45m²) SHADE NET + frame,,(Tent 45m2) Shade,1,1,1,1,T-Shade,29,190,42,42,335.16,NA,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CSHETENM45P,"(multipurpose tent 45m²) PARTITIONS mobile, PVC, 5 parts",,(Tent 45m2) Partition,1,1,1,1,T-Partition,15,165,20,20,66.00,NA,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CWATBEDNACG22,MOSQUITO NET alphacyp+chlorfen. (Interceptor G2) 2 per ,,Interceptor G2,15,750,50,50,G2,30.25,75,40,32,96.00,NA,,0.00,0,0,0,0,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
CWATBEDNDPP32,"MOSQUITO NET deltamethrin, PBO (Permanet 3.0) 2 persons",,Permanent 3.0,20,"1,000",50,50,Perm,27.7,63,42,30,79.38,NA,,0.00,0,0,0,,0,0,0,Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
DINFRINL1FBF1,"RINGER lactate, 1l, flex. bag, PVC free",TC 15-25,"Ringer 1L flex, PVC Free",56,672,12,12,Ringer,13.4,38,28,21,22.34,1.8,,0.00,0,0,0,2,"1,344",4,"2,688",Item,sites/grp-ocbksu-connect/Lists/Product_Parameters_Bulky
