Id Place,RC number,Store,Article,Version,Description,Aisle,Rack,Level,Stack,Quantity,Quantity Not Available,Quantity Available,Batch/Series,Expiry,Value(EUR),
2180023,239124,NBO,SMSUGLOS70-,NBO,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 7",B,03,01,C,9200,0,9200,KANA2509152C170,30-08-2030,1886,
2178360,245062,NBO,SDRECOTW5R-,NBO,"COTTON WOOL, hydrophilic, roll, 500 g",B,03,02,B,480,0,480,SYLA2601MSF,31-03-2031,843.20976,
2178361,245062,NBO,SDRECOTW5R-,NBO,"COTTON WOOL, hydrophilic, roll, 500 g",B,03,02,C,480,0,480,SYLA2601MSF,31-03-2031,843.20976,
2178362,245062,NBO,SDRECOTW5R-,NBO,"COTTON WOOL, hydrophilic, roll, 500 g",B,03,03,A,480,0,480,SYLA2601MSF,31-03-2031,843.20976,
2178363,245062,NBO,SDRECOTW5R-,NBO,"COTTON WOOL, hydrophilic, roll, 500 g",B,03,03,B,480,0,480,SYLA2601MSF,31-03-2031,843.20976,
2178321,245062,NBO,SDRECOMP4A4,NBO,"COMPRESS, abdominal, 45x45 cm, 4 layers, 17 threads, sterile",B,03,03,C,3600,0,3600,XUZE2691ZB,31-01-2031,786.1464,
2180024,239124,NBO,SMSUGLOS70-,NBO,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 7",B,04,01,A,9600,0,9600,KANA2509152C170,30-08-2030,1968,
2180454,245572,NBO,SMSUGLOS75-,NBO,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 7.5",B,04,01,B,4000,0,4000,KANA2603380C175,28-02-2031,880.08,
2164522,243108,NBO,SMSUBAGP16-,NBO,"BAG, plastic, for health card, 16x22 cm, re-sealable zipper",B,04,02,B,128000,0,128000,,,1600,
2180406,241484,NBO,DINFSODC9SRF5,NBO,"SODIUM chloride, 0.9%, 500ml, semi-rigid bot., PVC free",B,05,01,B,1000,0,1000,LABAP1401,31-07-2030,500,
2142984,239124,NBO,SMSUGLOS80-,NBO,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 8",B,05,01,C,8400,0,8400,KANA2509152C180,30-08-2030,1722,
2178322,245062,NBO,SDRECOMP4A4,NBO,"COMPRESS, abdominal, 45x45 cm, 4 layers, 17 threads, sterile",B,05,02,A,3600,0,3600,XUZE2691ZB,31-01-2031,786.1464,
2145807,239874,NBO,SINSIVCST24W2,NBO,"SAFETY IV CATHETER, tip, 24G x 19 mm, wings, no IP, yellow",B,05,03,B,27000,0,27000,POLM3330725K,31-08-2030,6574.824,
2145810,239874,NBO,SINSIVCST24W2,NBO,"SAFETY IV CATHETER, tip, 24G x 19 mm, wings, no IP, yellow",B,06,01,A,12000,0,12000,POLM3330725K,31-08-2030,2922.144,
2125378,236561,NBO,SMSUGLOS70-,NBO,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 7",B,06,01,C,6800,0,6800,KANA2505362C170,30-04-2030,1394,
2141717,236561,NBO,SMSUGLOS70-,NBO,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 7",B,06,01,C,800,0,800,KANA2505362C170,30-04-2030,164,
2178314,245062,NBO,SDREBANE104,NBO,"BANDAGE, CREPE (Velpeau), 10 cm x 4 m",B,06,02,C,4800,0,4800,SYLA2611SA,31-01-2031,579.1008,
2178315,245062,NBO,SDREBANE104,NBO,"BANDAGE, CREPE (Velpeau), 10 cm x 4 m",B,06,03,A,4800,0,4800,SYLA2611SA,31-01-2031,579.1008,
2180456,245572,NBO,SMSUGLOS80-,NBO,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 8",B,07,01,A,7600,0,7600,KANA2603380C180,28-02-2031,1672.152,
2118345,232709,NBO,SINSSYAI005,NBO,"SYRINGE, AUTO-DISABLE with needle, s.u., imm, 0.5 ml",B,07,01,B,28800,0,28800,ADMD812507,30-12-2029,914.3136,
2164526,243108,NBO,SDDCBAGP06P1,NBO,"BAG for drugs, plastic, zipper, 6 x 8 cm, + pictogram 2020",B,07,01,C,480000,0,480000,,,1248,
2180407,241484,NBO,DINFSODC9SRF5,NBO,"SODIUM chloride, 0.9%, 500ml, semi-rigid bot., PVC free",B,08,01,A,1000,0,1000,LABAP1401,31-07-2030,500,
2157585,241943,NBO,SDRECOTW5R-,NBO,"COTTON WOOL, hydrophilic, roll, 500 g",B,08,01,B,288,0,288,SYLA2504MSF,31-10-2030,501.12,
2176356,241943,NBO,SDRECOMP4A4,NBO,"COMPRESS, abdominal, 45x45 cm, 4 layers, 17 threads, sterile",B,08,01,C,1200,0,1200,SYLA2643ZB-1,31-10-2030,259.56,
2178324,245062,NBO,SDRECOMN7N-,NBO,"COMPRESS, NON WOVEN, 4 plies, 7.5 cm, non sterile",B,09,01,A,45000,0,45000,SYLA2611SA,31-01-2031,171.09,
2180458,245572,NBO,SMSUGLOS85-,NBO,"GLOVES, SURGICAL, latex, s.u., sterile, pair, 8.5",B,09,01,B,8800,0,8800,KANA2603380C185,28-02-2031,1936.176,
2178306,245062,NBO,SDRETAPA1P5,NBO,"ADHESIVE TAPE, fabric, perforated, 10cm x 5m",B,09,01,C,2304,0,2304,SYLA2608SY,31-01-2031,4380.735744,
2178313,245062,NBO,SDREBANE104,NBO,"BANDAGE, CREPE (Velpeau), 10 cm x 4 m",B,10,01,A,4800,0,4800,SYLA2611SA,31-01-2031,579.1008,
2129116,237338,NBO,SMSUGLOE1L-,NBO,"GLOVE, EXAMINATION, latex, s.u. non sterile, large",B,10,01,B,54000,0,54000,MDLNKSS25W27,28-06-2028,1836,
2175980,244748,NBO,SINSNEED19-,NBO,"NEEDLE, s.u., Luer, 19 G (1.1 x 40 mm) cream, IV",B,11,01,A,150000,0,150000,JMMT20260220,19-02-2031,1539.45,
2176494,244715,NBO,SINSIVCST20W1,NBO,"SAFETY IV CATHETER, tip, 20G x 32 mm, wings, IP, pink",B,11,01,B,26500,0,26500,POLM3061526B,31-01-2031,6378.8415,
2173850,244070,NBO,SMSUGLEN1L-,NBO,"GLOVE, EXAMINATION, nitrile, s.u., non sterile, L",B,11,01,C,36000,0,36000,MDLNZIM26W03,28-12-2030,684,
2164517,243108,NBO,SMSUBAGP16-,NBO,"BAG, plastic, for health card, 16x22 cm, re-sealable zipper",B,12,01,B,128000,0,128000,,,1600,
2173855,244070,NBO,SMSUGLEN1L-,NBO,"GLOVE, EXAMINATION, nitrile, s.u., non sterile, L",B,12,01,C,108000,0,108000,MDLNZIM26W03,28-12-2030,2052,
2107859,232709,NBO,SINSSYAI005,NBO,"SYRINGE, AUTO-DISABLE with needle, s.u., imm, 0.5 ml",B,12,02,A,38400,0,38400,ADMD812507,30-12-2029,1219.0848,
2107860,232709,NBO,SINSSYAI005,NBO,"SYRINGE, AUTO-DISABLE with needle, s.u., imm, 0.5 ml",B,12,02,B,38400,0,38400,ADMD812507,30-12-2029,1219.0848,
2175962,244748,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",B,13,03,A,12000,0,12000,JMMT20260220,19-02-2031,303.444,
2175965,244748,NBO,SINSSYDL05-,NBO,"SYRINGE, s.u., Luer, 5 ml",B,13,03,B,19200,0,19200,JMMT20260220,19-02-2031,485.5104,
2181618,241484,NBO,DINFSODC9SRF5,NBO,"SODIUM chloride, 0.9%, 500ml, semi-rigid bot., PVC free",B,15,01,A,1000,0,1000,LABAP1401,31-07-2030,500,
2126742,236797,NBO,DINFDEXT5SRF5,NBO,"DEXTROSE (GLUCOSE), 5%, 500ml, semi-rigid bot., PVC free",B,15,01,B,320,0,320,LABAN0708,31-03-2029,176,
2176480,244715,NBO,SINSSETI2--,NBO,"INFUSION SET 'Y', Luer-lock, air inlet, sterile, s.u.",B,15,01,C,4000,0,4000,POLM6056026B,31-01-2031,510.52,
